"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"18",0,"Austin Rivers","Jamal Crawford","Wesley Johnson","Blake Griffin","Chris Paul","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","John Jenkins"
"19",0,"Jamal Crawford","Wesley Johnson","Blake Griffin","Chris Paul","JJ Redick","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","John Jenkins"
"20",0,"Wesley Johnson","Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","John Jenkins"
"21",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Dirk Nowitzki","Zaza Pachulia","Jose Juan Barea","Devin Harris","John Jenkins"
"22",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Dirk Nowitzki","Zaza Pachulia","Devin Harris","John Jenkins","Jeremy Evans"
"23",1,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Dirk Nowitzki","Zaza Pachulia","John Jenkins","Jeremy Evans","Raymond Felton"
"24",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Zaza Pachulia","John Jenkins","Jeremy Evans","Raymond Felton","Charlie Villanueva"
"25",4,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","John Jenkins","Jeremy Evans","Raymond Felton","Charlie Villanueva","Dwight Powell"
"26",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","John Jenkins","Raymond Felton","Charlie Villanueva","Dwight Powell","Devin Harris"
"27",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Raymond Felton","Charlie Villanueva","Dwight Powell","Devin Harris","Jose Juan Barea"
"28",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Raymond Felton","Dwight Powell","Devin Harris","Jose Juan Barea","Dirk Nowitzki"
"29",0,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Raymond Felton","Devin Harris","Jose Juan Barea","Dirk Nowitzki","Zaza Pachulia"
"30",-5,"Blake Griffin","Chris Paul","JJ Redick","Lance Stephenson","DeAndre Jordan","Raymond Felton","Devin Harris","Jose Juan Barea","Dirk Nowitzki","Dwight Powell"
